#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA12762	EUR	EUR	0	0	0.0148	0	0.9852	-0.1299	11.5037	5.2216	8.6843	3.5507	-0.732	-6.8395	6.484	1.6649	-0.8884
NA07048	EUR	EUR	0	0	3e-4	0	0.9997	0.5988	11.561	4.0837	11.3448	-0.3338	-0.8951	-7.4584	10.4938	-1.7819	-5.3405
NA18960	EAS	EAS	1	0	0	0	0	-6.6972	-43.7709	4.0644	5.7997	-4.9543	-2.0043	-7.3475	4.4446	-1.3463	-0.3268
NA21097	SAS	SAS	0	0	0	1	0	1.2531	-3.9743	-17.9558	-4.0277	2.6623	-2.1068	-2.5153	4.7398	1.2696	2.4385
HG02646	AFR	AFR	0	1	0	0	0	61.6489	-17.3654	0.5678	1.7442	0.8992	-1.9938	-1.1006	7.0386	-2.3263	-1.0091
HG00285	EUR	EUR	0	0	0	0	1	-1.3906	7.896	3.4403	6.8203	3.8576	10.3092	-3.0833	0.8705	-0.8394	-1.1
HG02778	SAS	SAS	0	0	0	1	0	1.5003	-8.6303	-19.2347	-3.8222	-0.0099	-4.0212	-0.3858	-0.1598	0.4528	-4.1159
NA18498	AFR	AFR	0	1	0	0	0	63.4719	-17.8365	-0.6316	1.6539	3.4898	-2.0653	-6.2548	2.7314	-0.4713	-1.1613
HG03673	SAS	SAS	0	0	0	1	0	2.7791	-9.8111	-19.4623	-4.2887	-1.6265	-3.4741	-6.5742	3.1648	-2.7801	-2.1592
HG00190	EUR	EUR	0	0	0.0249	0	0.9751	-0.5351	9.8621	5.0245	8.4693	3.654	4.7958	-7.065	3.4014	-0.5056	-4.8939
HG02337	AFR	AFR	0	0.9992	8e-4	0	0	53.8198	-15.0318	0.6811	1.4334	2.9646	-1.1704	-4.5868	5.4931	-0.7121	0.0034
HG03652	SAS	SAS	0	0	0	1	0	1.9666	-4.9806	-16.8441	-3.7022	2.5659	-5.2291	-6.084	1.201	-2.0411	0.3935
NA20891	SAS	SAS	0	0	0	1	0	0.7969	-2.7994	-14.4224	-2.8656	-3.5136	0.2167	-2.9595	1.2895	2.1054	1.4009
HG01392	AMR	AMR	0	0	0.9991	0	9e-4	10.0203	1.4319	8.4719	-2.0301	4.8309	-6.08	-4.0774	9.635	-2.3733	2.521
NA18638	EAS	EAS	1	0	0	0	0	-6.3092	-43.398	2.186	7.5249	0.0827	-3.5603	-6.7653	5.4926	-1.4702	-3.3353
NA18635	EAS	EAS	1	0	0	0	0	-6.9883	-42.8544	4.6493	6.5121	-5.3138	1.7008	-4.5022	2.696	-2.251	-2.2996
NA19722	AMR	AMR	0	1e-4	0.9999	0	0	-1.5932	-6.4853	13.6475	-10.7062	-0.9958	-3.2591	-7.1818	1.0285	-4.4187	1.5967
HG03754	SAS	SAS	0	0	0	1	0	2.2158	-5.9148	-19.6029	-5.6622	0.5591	-2.3138	2.4272	5.2497	-5.9066	0.9445
NA20878	SAS	SAS	0	0	0	1	0	-1.0372	-7.042	-20.4831	-3.4638	1.8665	-2.7192	-8.2406	5.9728	-2.6633	-3.3889
HG00101	EUR	EUR	0	0	0.049	0	0.951	0.8227	12.7249	6.634	7.334	5.1036	-1.4392	-5.6088	4.5252	0.8294	0.4183
NA20884	SAS	SAS	0	0	0	1	0	-0.1824	-7.3636	-20.2594	-5.2491	3.4533	-0.2582	-5.4393	10.3014	-4.4244	0.4322
NA20765	EUR	EUR	0	0	0.0593	0	0.9407	2.0717	11.5918	4.5071	9.192	2.4909	-9.3936	-3.9123	3.447	2.1616	-2.1205
HG02734	SAS	SAS	0	0	0	1	0	2.4512	-1.6769	-11.518	-3.1978	-0.4864	-0.0111	0.3262	6.0366	-0.5547	-0.1034
HG01770	EUR	EUR	0	0	0.0173	0	0.9827	1.152	12.5089	5.4574	9.6721	1.809	-3.352	-5.6258	6.6515	0.8476	-1.5858
NA20510	EUR	EUR	0	1e-4	0.2712	1e-4	0.7287	2.4262	12.4203	2.3485	8.3239	2.9199	-5.39	-2.4923	4.5032	2.9507	1.0627
HG01205	AMR	AMR	0	0	0.6846	1e-4	0.3154	6.8375	5.8312	6.6329	3.4308	1.939	-1.2882	-5.6569	7.129	-2.0957	-1.5199
HG00097	EUR	EUR	0	0	6e-4	0	0.9994	0.8977	14.6913	5.3686	10.6666	2.9986	-1.4314	0.5676	9.2422	5.0716	-4.4425
NA20888	SAS	SAS	0	0	0	1	0	0.4617	-5.9073	-19.1644	-4.4153	5.1195	-3.4261	-4.3882	3.0778	-4.3158	-1.4532
HG01958	AFR	AFR	0	0.9994	6e-4	0	0	53.2704	-14.8	1.7241	1.4667	3.7948	-2.0202	-3.4292	1.7556	-0.4833	-4.9816
NA19043	AFR	AFR	0	1	0	0	0	60.0071	-17.233	-0.7986	-0.1937	3.5441	-1.1888	-6.1432	2.2902	-1.9847	-2.5396
NA18954	EAS	EAS	1	0	0	0	0	-7.976	-42.4234	4.7987	5.8551	-3.3105	-0.8063	-2.4897	1.8899	1.2685	-7.6211
HG03246	AFR	AFR	0	1	0	0	0	60.9716	-16.6458	-1.1804	0.7125	2.7249	-3.5453	0.0378	3.162	-3.5265	-0.0514
NA19655	AMR	AMR	0	0	1	0	0	2.797	-1.4767	10.0655	-7.7991	-5.5148	-3.1332	-4.0768	3.3974	4.2565	-0.6369
HG00332	EUR	EUR	0	0	0.0141	0	0.9859	-0.8333	7.726	4.4651	8.4513	4.716	5.7703	-1.5831	3.1124	-2.4576	1.9767
HG00126	EUR	EUR	0	0	0.0022	0	0.9978	0.2093	13.8982	6.2526	9.4107	2.2089	-3.5272	-1.8785	3.7968	-2.0258	-1.8436
HG04158	SAS	SAS	0	0	0	1	0	0.2535	-10.1921	-15.1204	-3.1202	2.595	0.0847	-3.833	-0.2313	-3.5695	-1.2926
HG02060	EAS	EAS	1	0	0	0	0	-7.7795	-43.1824	1.7779	6.7479	6.6119	-3.2018	-3.9558	4.8621	-0.4815	-0.2188
HG00158	EUR	EUR	0	0	0.0254	0	0.9746	-0.0754	10.4409	5.3375	7.088	0.3709	-2.983	-5.6275	1.4935	2.1316	0.4317
HG01356	AMR	AMR	0	0	0.9997	2e-4	1e-4	3.1793	2.6194	9.7666	-3.896	2.9679	-4.4801	-6.3631	8.3062	0.8278	1.5033
NA18573	EAS	EAS	1	0	0	0	0	-7.7323	-43.8318	1.6918	5.5451	1.0228	-1.1697	-2.3513	6.3105	-2.3623	-2.7923
