sample_id	call_rate	het_rate	n_het	n_hom_alt	qc_flag
sample1	1	0.0753	615	185	PASS
sample2	1	0.0785	641	181	PASS
sample3	1	0.0664	542	219	PASS
sample4	1	0.0563	460	302	PASS
sample5	1	0.073	596	197	PASS
sample6	1	0.072	588	221	PASS
sample7	1	0.09	735	153	PASS
sample8	1	0.0751	613	187	PASS
sample9	1	0.0742	606	210	PASS
sample10	1	0.066	539	224	PASS
sample11	1	0.0816	666	177	PASS
sample12	1	0.0695	567	209	PASS
sample13	1	0.0736	601	221	PASS
sample14	1	0.0658	537	264	PASS
sample15	1	0.0566	462	261	PASS
sample16	1	0.0697	569	210	PASS
sample17	1	0.0668	545	226	PASS
sample18	1	0.0753	615	205	PASS
sample19	1	0.0713	582	204	PASS
sample20	1	0.0739	603	202	PASS
sample21	1	0.0708	578	207	PASS
sample22	1	0.0845	690	156	PASS
sample23	1	0.0483	394	286	PASS
sample24	1	0.0717	585	201	PASS
sample25	1	0.0729	595	214	PASS
sample26	0.7210583928928168	0.0492	402	320	low_call_rate
sample27	1	0.0549	448	261	PASS
sample28	1	0.0801	654	186	PASS
sample29	1	0.0878	717	161	PASS
sample30	1	0.0755	616	202	PASS
sample31	1	0.0686	560	225	PASS
sample32	1	0.0615	502	257	PASS
sample33	1	0.0698	570	216	PASS
sample34	1	0.0721	589	219	PASS
sample35	1	0.0696	568	235	PASS
sample36	1	0.0806	658	171	PASS
sample37	1	0.0598	488	256	PASS
sample38	1	0.0583	476	286	PASS
sample39	1	0.0686	560	221	PASS
sample40	1	0.0632	516	251	PASS
sample41	1	0.0698	570	227	PASS
sample42	1	0.0611	499	261	PASS
sample43	1	0.061	498	257	PASS
sample44	1	0.0649	530	241	PASS
sample45	1	0.0654	534	258	PASS
sample46	1	0.0626	511	238	PASS
sample47	1	0.0685	559	207	PASS
sample48	1	0.0744	607	194	PASS
sample49	1	0.0773	631	177	PASS
sample50	0.8419489637850341	0.0698	570	188	low_call_rate
sample51	1	0.0781	638	189	PASS
sample52	1	0.0823	672	165	PASS
sample53	1	0.0666	544	220	PASS
sample54	1	0.0742	606	201	sex_discordance
sample55	1	0.0763	623	197	PASS
sample56	1	0.0766	625	178	PASS
sample57	1	0.0695	567	199	PASS
sample58	1	0.14109456287264102	618	168	high_het
sample59	1	0.0646	527	270	PASS
sample60	1	0.0497	406	284	PASS
sample61	1	0.0846	691	149	PASS
sample62	1	0.0546	446	270	PASS
sample63	1	0.0747	610	197	PASS
sample64	1	0.0778	635	192	PASS
sample65	1	0.0657	536	206	PASS
sample66	1	0.0742	606	183	PASS
sample67	1	0.0612	500	252	PASS
sample68	1	0.0741	605	195	PASS
sample69	1	0.0719	587	219	PASS
sample70	1	0.0647	528	251	PASS
sample71	1	0.0582	475	257	PASS
sample72	1	0.08	653	166	PASS
sample73	1	0.0706	576	223	PASS
sample74	1	0.0693	566	196	PASS
sample75	1	0.0739	603	204	PASS
sample76	1	0.0698	570	218	PASS
sample77	1	0.0688	562	203	PASS
sample78	1	0.05	408	304	PASS
sample79	1	0.0687	561	216	PASS
sample80	1	0.0554	452	268	PASS
sample81	1	0.0622	508	247	PASS
sample82	1	0.0786	642	167	PASS
sample83	1	0.0674	550	224	PASS
sample84	1	0.0723	590	199	PASS
sample85	1	0.0723	590	217	PASS
sample86	1	0.0774	632	186	PASS
sample87	1	0.0695	567	218	PASS
sample88	1	0.0702	573	200	PASS
sample89	1	0.0712	581	209	PASS
sample90	1	0.0878	717	156	PASS
sample91	1	0.072	588	202	PASS
sample92	1	0.0813	664	188	PASS
sample93	1	0.0706	576	207	PASS
sample94	1	0.0451	368	316	PASS
sample95	1	0.0717	585	202	PASS
sample96	1	0.0704	575	197	PASS
sample97	1	0.0704	575	212	PASS
sample98	1	0.0543	443	275	PASS
sample99	1	0.0413	337	340	PASS
sample100	1	0.0833	680	148	PASS
sample101	1	0.0747	610	194	PASS
sample102	1	0.0793	647	193	PASS
sample103	1	0.0681	556	243	PASS
sample104	1	0.0707	577	210	PASS
sample105	1	0.062	506	258	PASS
sample106	1	0.085	694	155	PASS
sample107	1	0.0732	598	194	PASS
